aws_cloudformation_stack AWS::CloudFormation::Stack
aws_cloudformation_stack_set AWS::CloudFormation::StackSet
aws_cloudfront_cache_policy AWS::CloudFront::CachePolicy
aws_cloudfront_continuous_deployment_policy AWS::CloudFront::ContinuousDeploymentPolicy
aws_cloudfront_distribution AWS::CloudFront::Distribution
aws_cloudfront_function AWS::CloudFront::Function
aws_cloudfront_key_group AWS::CloudFront::KeyGroup
aws_cloudfront_key_value_store AWS::CloudFront::KeyValueStore
aws_cloudfront_monitoring_subscription AWS::CloudFront::MonitoringSubscription
aws_cloudfront_origin_access_control AWS::CloudFront::OriginAccessControl
aws_cloudfront_origin_request_policy AWS::CloudFront::OriginRequestPolicy
aws_cloudfront_public_key AWS::CloudFront::PublicKey
aws_cloudfront_realtime_log_config AWS::CloudFront::RealtimeLogConfig
aws_cloudfront_response_headers_policy AWS::CloudFront::ResponseHeadersPolicy
aws_cloudfront_vpc_origin AWS::CloudFront::VpcOrigin
aws_cloudtrail_event_data_store AWS::CloudTrail::EventDataStore
aws_cloudwatch_composite_alarm AWS::CloudWatch::CompositeAlarm
aws_cloudwatch_dashboard AWS::CloudWatch::Dashboard
aws_cloudwatch_event_api_destination AWS::Events::ApiDestination
aws_cloudwatch_event_archive AWS::Events::Archive
aws_cloudwatch_event_connection AWS::Events::Connection
aws_cloudwatch_event_endpoint AWS::Events::Endpoint
aws_cloudwatch_event_rule AWS::Events::Rule
aws_cloudwatch_log_account_policy AWS::Logs::AccountPolicy
aws_cloudwatch_log_delivery AWS::Logs::Delivery
aws_cloudwatch_log_delivery_destination AWS::Logs::DeliveryDestination
aws_cloudwatch_log_delivery_source AWS::Logs::DeliverySource
aws_cloudwatch_log_destination AWS::Logs::Destination
aws_cloudwatch_log_metric_filter AWS::Logs::MetricFilter
aws_cloudwatch_log_resource_policy AWS::Logs::ResourcePolicy
aws_cloudwatch_log_subscription_filter AWS::Logs::SubscriptionFilter
aws_cloudwatch_metric_stream AWS::CloudWatch::MetricStream
aws_codeartifact_domain AWS::CodeArtifact::Domain
aws_codeartifact_repository AWS::CodeArtifact::Repository
aws_codebuild_fleet AWS::CodeBuild::Fleet
aws_codebuild_project AWS::CodeBuild::Project
aws_codebuild_report_group AWS::CodeBuild::ReportGroup
aws_codebuild_source_credential AWS::CodeBuild::SourceCredential
aws_codecommit_repository AWS::CodeCommit::Repository
aws_codeconnections_connection AWS::CodeConnections::Connection
aws_codedeploy_deployment_config AWS::CodeDeploy::DeploymentConfig
aws_codedeploy_deployment_group AWS::CodeDeploy::DeploymentGroup
aws_codeguruprofiler_profiling_group AWS::CodeGuruProfiler::ProfilingGroup
aws_codegurureviewer_repository_association AWS::CodeGuruReviewer::RepositoryAssociation
aws_codepipeline_custom_action_type AWS::CodePipeline::CustomActionType
aws_codepipeline_webhook AWS::CodePipeline::Webhook
aws_codestarconnections_connection AWS::CodeStarConnections::Connection
aws_codestarnotifications_notification_rule AWS::CodeStarNotifications::NotificationRule
aws_cognito_identity_pool AWS::Cognito::IdentityPool
aws_cognito_user_pool AWS::Cognito::UserPool
aws_cognito_user_pool_client AWS::Cognito::UserPoolClient
aws_cognito_user_pool_domain AWS::Cognito::UserPoolDomain
aws_comprehend_document_classifier AWS::Comprehend::DocumentClassifier
aws_config_config_rule AWS::Config::ConfigRule
aws_config_configuration_aggregator AWS::Config::ConfigurationAggregator
aws_config_configuration_recorder AWS::Config::ConfigurationRecorder
aws_config_conformance_pack AWS::Config::ConformancePack
aws_config_delivery_channel AWS::Config::DeliveryChannel
aws_config_organization_conformance_pack AWS::Config::OrganizationConformancePack
aws_config_remediation_configuration AWS::Config::RemediationConfiguration
aws_connect_contact_flow AWS::Connect::ContactFlow
aws_connect_contact_flow_module AWS::Connect::ContactFlowModule
aws_connect_hours_of_operation AWS::Connect::HoursOfOperation
aws_connect_instance AWS::Connect::Instance
aws_connect_instance_storage_config AWS::Connect::InstanceStorageConfig
aws_connect_phone_number AWS::Connect::PhoneNumber
aws_connect_queue AWS::Connect::Queue
aws_connect_quick_connect AWS::Connect::QuickConnect
aws_connect_routing_profile AWS::Connect::RoutingProfile
aws_connect_security_profile AWS::Connect::SecurityProfile
aws_connect_user AWS::Connect::User
aws_connect_user_hierarchy_group AWS::Connect::UserHierarchyGroup
aws_connect_user_hierarchy_structure AWS::Connect::UserHierarchyStructure
aws_controltower_landing_zone AWS::ControlTower::LandingZone
aws_cur_report_definition AWS::CUR::ReportDefinition
aws_customerprofiles_domain AWS::CustomerProfiles::Domain
aws_datapipeline_pipeline AWS::DataPipeline::Pipeline
aws_datasync_agent AWS::DataSync::Agent
aws_datasync_location_azure_blob AWS::DataSync::LocationAzureBlob
aws_datasync_location_efs AWS::DataSync::LocationEFS
aws_datasync_location_hdfs AWS::DataSync::LocationHDFS
aws_datasync_location_nfs AWS::DataSync::LocationNFS
aws_datasync_location_object_storage AWS::DataSync::LocationObjectStorage
aws_datasync_location_s3 AWS::DataSync::LocationS3
aws_datasync_location_smb AWS::DataSync::LocationSMB
aws_datasync_task AWS::DataSync::Task
aws_datazone_domain AWS::DataZone::Domain
aws_datazone_environment AWS::DataZone::Environment
aws_datazone_environment_blueprint_configuration AWS::DataZone::EnvironmentBlueprintConfiguration
aws_datazone_environment_profile AWS::DataZone::EnvironmentProfile
aws_datazone_project AWS::DataZone::Project
aws_datazone_user_profile AWS::DataZone::UserProfile
aws_dax_cluster AWS::DAX::Cluster
aws_dax_parameter_group AWS::DAX::ParameterGroup
aws_dax_subnet_group AWS::DAX::SubnetGroup
aws_db_instance AWS::RDS::DBInstance
aws_db_parameter_group AWS::RDS::DBParameterGroup
aws_db_proxy AWS::RDS::DBProxy
aws_db_proxy_endpoint AWS::RDS::DBProxyEndpoint
aws_db_subnet_group AWS::RDS::DBSubnetGroup
aws_detective_graph AWS::Detective::Graph
aws_devopsguru_notification_channel AWS::DevOpsGuru::NotificationChannel
aws_devopsguru_resource_collection AWS::DevOpsGuru::ResourceCollection
aws_dlm_lifecycle_policy AWS::DLM::LifecyclePolicy
aws_dms_certificate AWS::DMS::Certificate
aws_dms_endpoint AWS::DMS::Endpoint
aws_dms_event_subscription AWS::DMS::EventSubscription
aws_dms_replication_config AWS::DMS::ReplicationConfig
aws_dms_replication_instance AWS::DMS::ReplicationInstance
aws_dms_replication_subnet_group AWS::DMS::ReplicationSubnetGroup
aws_dms_replication_task AWS::DMS::ReplicationTask
aws_docdb_event_subscription AWS::DocDB::EventSubscription
aws_docdbelastic_cluster AWS::DocDBElastic::Cluster
